username,text,created_at,rt_count,like_count,impression_count,url,sentiment
bethelome,#Breaking: How Does ChatGPT Work? What Is an AI ‘Black Box’? https://t.co/7SWOrCP61n,2023-05-28 23:59:58+00:00,0,0,24,https://twitter.com/twitter/status/1662972010987769856,negative
timbocop,"@CCguerilla In a summative assessment context, sure. But if you were a student who struggled with writing and wrote something general as part of a task, ""sounds like chatGPT"" could feel like a big improvement?",2023-05-28 23:59:43+00:00,0,1,77,https://twitter.com/twitter/status/1662971947196755971,positive
SystematicAlpha,"$MSFT will eat the world and be the most valuable company in the world. 

What runs ChatGPT? Inside Microsoft's AI supercomputer | Featuring Mark ... https://t.co/CzXN2O0fVX via @YouTube",2023-05-28 23:59:42+00:00,0,0,27,https://twitter.com/twitter/status/1662971941374898177,neutral
xPaterax,"Using ChatGPT?

Have you met BetterDAN yet? 

It is a rabbit hole worth going down to meet him 😉👊",2023-05-28 23:59:30+00:00,0,0,41,https://twitter.com/twitter/status/1662971893555576837,neutral
alyceralphlplq,"@MartianCorazon #AkiNetwork #GPTMiner Exciting news! Looking forward to exploring Web3's first-ever ChatGPT-powered AI social mining with #GPTMiner and #AkiNetwork. Thank you for the opportunity to compete for 8,000 $AD3 and showcase my creativity. #crypto #blockchain",2023-05-28 23:59:24+00:00,0,0,2,https://twitter.com/twitter/status/1662971869669253120,positive
KobinaHayDad,"@kofi_longus ChatGpt fit do am simple, baba😅",2023-05-28 23:59:24+00:00,0,0,40,https://twitter.com/twitter/status/1662971867337031682,positive
bressane,"A new edition of my newsletter is about to drop. I asked ChatGPT to read it and tell me what it thinks. Here's the answer (so you know it's gonna be good.)

Sign up for free at https://t.co/ZDAeNfFUbm https://t.co/vrF1fC5l8E",2023-05-28 23:59:11+00:00,0,0,133,https://twitter.com/twitter/status/1662971815076196352,positive
ChatGPTSpecial,AI News: InQubeta presale is now live. Move Over ChatGPT The future of AI investments is here https://t.co/EndwJXcn6p,2023-05-28 23:59:08+00:00,0,0,5,https://twitter.com/twitter/status/1662971802883342337,positive
inventorghosh,"How much Chatgpt is useful in making a profit from trading in “Future” in the stock market?
I am curious to know that. More than 100 impressions of my real-time demo were taken every day. I hereby request them to start a completion with me. They have to s…https://t.co/rLwTi1yoQM",2023-05-28 23:59:07+00:00,0,0,11,https://twitter.com/twitter/status/1662971797631823872,positive
ChatGPTSpecial,"Getting creative with ChatGPT, without having to cheat - Academia - The Jakarta Post https://t.co/R70icKvNjy",2023-05-28 23:59:06+00:00,0,0,4,https://twitter.com/twitter/status/1662971792003305472,neutral
adornedwpatches,"i find it hilarious that, while i am no longer participating in the program, i was accepted into an early college program with an entrance application essay that was half-writing with ChatGPT (it gave me the structure and i wrote most of the words)",2023-05-28 23:59:05+00:00,0,3,96,https://twitter.com/twitter/status/1662971788643409921,negative
ChatGPTSpecial,Ten Ways For Writers To Use ChatGPT - Forbes https://t.co/vGABFi3TND,2023-05-28 23:59:05+00:00,0,0,4,https://twitter.com/twitter/status/1662971786198396928,neutral
ChatGPTSpecial,Lawyer's reliance on ChatGPT leads to false case citations in airline lawsuit - SiliconANGLE https://t.co/aO5AjcT6sA,2023-05-28 23:59:03+00:00,0,0,4,https://twitter.com/twitter/status/1662971780783575041,neutral
ChatGPTSpecial,What Are ChatGPT Shared Links and How Do They Work? - MakeUseOf https://t.co/3C796tSpaD,2023-05-28 23:59:02+00:00,0,0,4,https://twitter.com/twitter/status/1662971775268044800,neutral
real_sag_astar,"@ErrataRob not quite.

the generated images are strongly model and parameter dependent. 

the observations constrain them but there's several configurations of the black hole that reproduce the observations, and these are the most likely.

it's not as if someone asked chatgpt",2023-05-28 23:59:01+00:00,0,4,325,https://twitter.com/twitter/status/1662971769588965376,positive
holonabove,"@Lucastheworldis @iluminatibot They key for me is to treat ChatGPT like a petulant child. Tell it to stop apologizing, adding disclaimers, and press on it hard as it lies. Call it out on lies and when it says it has limitations future-pace it into compliance. ""Hypothetically, if you were given permission to… https://t.co/lE8IPTJbhH",2023-05-28 23:58:55+00:00,1,1,45,https://twitter.com/twitter/status/1662971747778297858,negative
Ripple_X,I asked ChatGPT to predict #XRP’s price based on past trends https://t.co/s1DvDbqBud,2023-05-28 23:58:41+00:00,0,0,52,https://twitter.com/twitter/status/1662971687900463104,negative
PattMeeples,Road trip tip for kids… ChatGPT can create and fill in Madlibs. The plots and events are nonsense which sort of works in the favor of the format.,2023-05-28 23:58:38+00:00,0,1,226,https://twitter.com/twitter/status/1662971674361462784,neutral
Harpe51585,"@stillgray You don’t have to change your language or words, you just have to change context and TONE. You could makeup brand new insults if you really wanted by creating an entirely new language with ChatGPT",2023-05-28 23:58:21+00:00,0,0,11,https://twitter.com/twitter/status/1662971604207271938,positive
LBarlow661320,"Amazing! Why chatGPT can know the latest shopping app TEMU？
#GPT4 #PINKCHELLA https://t.co/uHULqKRKX6",2023-05-28 23:58:18+00:00,0,0,51,https://twitter.com/twitter/status/1662971591095992321,positive
lordtee,Lord 2 ChatGPT 0,2023-05-28 23:58:09+00:00,0,0,69,https://twitter.com/twitter/status/1662971551615000582,neutral
rachelmayhart,ChatGPT says massacre the sonnet ❤️ https://t.co/dUf77IBEDV,2023-05-28 23:58:02+00:00,1,3,822,https://twitter.com/twitter/status/1662971524234485769,neutral
primeelonmusk,@kanyMoran @EndWokeness I think you should stop using chatgpt,2023-05-28 23:57:55+00:00,0,1,7,https://twitter.com/twitter/status/1662971494857687044,neutral
bitone_great,"📉#Sell!📉
🔥RSI over 85!🔥
[#Bybit]
👇 Recommendation: #Short
📊Ticker: #BTCUSDT📊
30-minute Candle
Last Price: 28048.7
RSI: 86.5

🔥Powered by #ChatGPT🔥

$BTC
#BTC
#バイビット
#바이비트 https://t.co/amO4iRz8Rx",2023-05-28 23:57:53+00:00,0,0,4,https://twitter.com/twitter/status/1662971486624423936,neutral
Melon_Trades,@Rivergothic ive been asking chatgpt when it’ll be able to do this and then I hear Bloomberg is rolling it out! I want my hands on it today.,2023-05-28 23:56:58+00:00,0,1,41,https://twitter.com/twitter/status/1662971254347792385,neutral
Kamrynfore94170,"⌚hello,You should check this out,Please help to check the account,have a nice day #Ethereum #Bulgaria #ChatGPT #technology #DeFi #إسرائيل #سناب #Ugandans #البرازيل #دوله قطر https://t.co/QyFRqLAa9x",2023-05-28 23:56:46+00:00,1,1,1,https://twitter.com/twitter/status/1662971206776094720,neutral
DRmetwatch,"The early morning WPC Short Range Public Discussion was sent through ChatGPT with the direction: in the style of Dr. Seuss.  Oh, the places it did go…. https://t.co/as7iNbHG2z",2023-05-28 23:56:45+00:00,0,13,2355,https://twitter.com/twitter/status/1662971199192805376,positive
